combination,c1,c2,c3,ECL1,ECL2,ECL3,ECL4,ECL5,ECL6,ECL7,ECL8,ECL9,ECL10,ECL11,ECL12,ECL13
1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,25,0,0,0.9778,0.9645,0.9972,0.9741,1,0.9888,0.9455,0.9802,0.9471,0.9627,0.9668,0.9251,0.7508
3,50,0,0,0.9212,0.9436,0.99,0.9368,0.9846,0.991,0.9638,0.9391,0.9593,0.9661,0.9787,0.8277,0.9853
4,100,0,0,0.5604,0.8889,0.6431,0.721,0.6766,0.8698,0.9702,0.8412,0.9694,0.9523,0.9643,0.4625,0.9634
5,200,0,0,0.0639,0.6678,0.0338,0.2357,0.2098,0.4245,0.817,0.3618,0.9189,0.8948,0.8551,0.0463,0.6075
6,400,0,0,0.001,0.0844,0,0.0354,0.1024,0.4551,0.1357,0.0711,0.8046,0.6943,0.3981,0,0.0736
7,800,0,0,0.0118,0,0,0,0.0569,0.4803,0,0.0335,0.7895,0.5153,0.0355,0,0
8,0,2.94,0,1,1,1,1,1,0.9978,0.9863,0.9903,0.9846,1,1,0.9978,0.8068
9,25,2.94,0,0.995,0.9948,1,0.997,1,1,0.9844,0.9964,0.9853,0.9988,1,0.9814,0.9465
10,50,2.94,0,0.9591,0.998,1,0.9743,0.9697,1,0.9932,0.9751,0.9892,1,1,0.857,1
11,100,2.94,0,0.6028,0.956,0.6325,0.6416,0.6571,0.8545,0.9913,0.8021,0.9933,0.9807,0.9878,0.432,1
12,200,2.94,0,0.073,0.7107,0.0253,0.1056,0.1716,0.3705,0.8885,0.3504,0.9759,0.9304,0.9029,0.0374,0.6383
13,400,2.94,0,0.0005,0.1016,0,0.0026,0.1031,0.484,0.2192,0.0653,0.8595,0.7365,0.4483,0,0.0662
14,800,2.94,0,0.0137,0,0,0,0.0536,0.5346,0,0.0363,0.8254,0.5368,0.0492,0,0
15,0,5.88,0,0.7391,1,1,1,1,1,0.997,1,0.9969,1,1,0.881,0.7721
16,25,5.88,0,0.7346,1,1,1,1,1,1,1,0.9996,1,1,0.8909,0.878
17,50,5.88,0,0.6035,0.9999,1,0.995,1,1,1,1,0.9952,1,1,0.7918,1
18,100,5.88,0,0.4309,0.9941,0.5458,0.6875,0.8508,0.8831,1,0.8774,0.9993,0.9904,0.9972,0.4008,0.9905
19,200,5.88,0,0.0597,0.7317,0,0.0598,0.3037,0.4634,0.8945,0.345,0.9791,0.9361,0.8938,0.0386,0.6864
20,400,5.88,0,0.0021,0.0839,0,0,0.1211,0.4993,0.1679,0.0764,0.8833,0.7462,0.4505,0,0.0792
21,800,5.88,0,0.016,0,0,0,0.0517,0.5003,0,0.0376,0.8423,0.5491,0.0559,0,0
22,0,11.75,0,0.3139,0.406,0.8085,0.9999,0.998,0.9073,0.7868,0.9546,0.9844,0.7793,1,0.4462,0.6743
23,25,11.75,0,0.3118,0.3778,0.8246,0.9988,1,0.9147,0.8081,0.9436,0.9854,0.8305,0.9952,0.4551,0.7638
24,50,11.75,0,0.3005,0.4474,0.7608,0.9759,1,0.9085,0.8403,0.9159,0.9841,0.8046,1,0.44,0.8299
25,100,11.75,0,0.2431,0.4779,0.599,0.7939,0.7886,0.8146,0.9368,0.7972,0.9972,0.8073,1,0.3709,0.8432
26,200,11.75,0,0.0591,0.2653,0.061,0.0973,0.3605,0.4046,0.8135,0.3563,0.9604,0.7877,0.8905,0.0455,0.5962
27,400,11.75,0,0.0436,0.0221,0,0,0.1057,0.4781,0.2048,0.0782,0.8716,0.688,0.4481,0,0.0753
28,800,11.75,0,0.0386,0,0,0,0.0561,0.5264,0,0.0342,0.8244,0.5309,0.0654,0,0
29,0,23.5,0,0.0123,0.0177,0.3284,0.7955,0.4623,0.2505,0.1664,0.4268,0.3189,0.3509,0.7326,0.4435,0.2691
30,25,23.5,0,0.0137,0.0338,0.3212,0.764,0.4565,0.3077,0.2061,0.398,0.3433,0.3559,0.7681,0.4712,0.3958
31,50,23.5,0,0.0147,0.0576,0.3096,0.7245,0.4513,0.3342,0.22,0.3774,0.3565,0.3729,0.8218,0.4789,0.4929
32,100,23.5,0,0,0.0685,0.2626,0.6331,0.3937,0.3129,0.232,0.3787,0.4356,0.3947,0.8275,0.4746,0.5016
33,200,23.5,0,0,0.0369,0.0324,0.0938,0.2509,0.2106,0.242,0.2793,0.4668,0.4042,0.7165,0.1777,0.2955
34,400,23.5,0,0,0,0,0,0.1497,0.222,0.1397,0.0902,0.532,0.3811,0.3714,0.0774,0.1359
35,800,23.5,0,0.0021,0,0,0,0.0615,0.285,0,0.0456,0.4716,0.3041,0.0504,0.0118,0.04
36,0,47,0,0,0,0.2149,0.1403,0.0113,0.0024,0,0.0792,0.1144,0.1451,0.3224,0.5235,0.0675
37,25,47,0,0,0,0.2179,0.1411,0.0334,0.006,0,0.0749,0.1209,0.1402,0.3297,0.54,0.0838
38,50,47,0,0,0,0.1815,0.1393,0.0131,0.0089,0,0.0862,0.1288,0.1355,0.345,0.5285,0.0999
39,100,47,0,0,0,0.1489,0.1068,0.008,0.0026,0,0.0906,0.1419,0.1414,0.3548,0.4495,0.0967
40,200,47,0,0,0,0.0341,0.0062,0.0006,0.0004,0,0.0827,0.1564,0.1384,0.3398,0.2822,0.049
41,400,47,0,0,0,0,0,0,0.0041,0,0.0369,0.1733,0.1034,0.2091,0.2053,0.0056
42,800,47,0,0,0,0,0,0,0.0161,0,0.0408,0.1355,0.0698,0.0442,0.0977,0
43,0,94,0,0,0,0,0,0,0,0,0.0099,0.074,0.0286,0.1722,0.4392,0.0215
44,25,94,0,0,0,0,0,0,0,0,0.0169,0.0725,0.0232,0.169,0.4487,0.0226
45,50,94,0,0,0,0,0,0,0,0,0.0146,0.0736,0.024,0.1723,0.4426,0.0259
46,100,94,0,0,0,0,0,0,0,0,0.0217,0.0733,0.0232,0.1704,0.4006,0.0355
47,200,94,0,0,0,0,0,0,0,0,0.0116,0.0742,0.0254,0.1464,0.2813,0.0121
48,400,94,0,0,0,0,0,0,0,0,0.0012,0.0779,0.0172,0.0889,0.2069,0
49,800,94,0,0,0,0,0,0,0,0,0.0169,0.0395,0.0003,0.0245,0.1047,0
50,0,188,0,0,0,0,0,0,0,0,0,0.0651,0,0.0403,0.4124,0.0411
51,25,188,0,0,0,0,0,0,0,0,0,0.0634,0,0.0394,0.4116,0.027
52,50,188,0,0,0,0,0,0,0,0,0,0.0669,0,0.0424,0.4147,0.0227
53,100,188,0,0,0,0,0,0,0,0,0,0.0655,0,0.0384,0.3798,0.0186
54,200,188,0,0,0,0,0,0,0,0,0,0.0657,0,0.0244,0.2607,0.0087
55,400,188,0,0,0,0,0,0,0,0,0,0.0661,0,0.0004,0.2063,0
56,800,188,0,0,0,0,0,0,0,0,0.0034,0.0276,0,0,0.1066,0
57,0,376,0,0,0,0,0,0,0,0,0,0.053,0,0.0028,0.3997,0.0279
58,25,376,0,0,0,0,0,0,0,0,0,0.0585,0,0.0003,0.4004,0.0231
59,50,376,0,0,0,0,0,0,0,0,0,0.0614,0,0.0019,0.4043,0.0273
60,100,376,0,0,0,0,0,0,0,0,0,0.0614,0,0.0018,0.376,0.0322
61,200,376,0,0,0,0,0,0,0,0,0,0.0623,0,0,0.2733,0.0214
62,400,376,0,0,0,0,0,0,0,0,0,0.0516,0,0,0.2154,0
63,800,376,0,0,0,0,0,0,0,0,0,0.015,0,0,0.1119,0
64,0,752,0,0,0,0,0,0,0,0,0,0.0718,0,0.0077,0.4075,0.0372
65,25,752,0,0,0,0,0,0,0,0,0,0.0681,0,0.0047,0.407,0.0492
66,50,752,0,0,0,0,0,0,0,0,0,0.0684,0,0.0072,0.4056,0.0453
67,100,752,0,0,0,0,0,0,0,0,0,0.0656,0,0.005,0.3786,0.0514
68,200,752,0,0,0,0,0,0,0,0,0,0.0567,0,0,0.2794,0.0316
69,400,752,0,0,0,0,0,0,0,0,0,0.055,0,0,0.2055,0.0058
70,800,752,0,0,0,0,0,0,0,0,0,0.0271,0,0,0.0997,0.0029
71,0,0,0.09,1,0.9984,1,1,1,1,1,1,0.9959,1,1,1,0.8655
72,25,0,0.09,0.9938,1,1,1,0.9931,1,0.9749,0.9851,0.9964,0.9997,0.9948,0.9806,0.6902
73,50,0,0.09,0.9375,0.9311,1,0.9621,1,1,1,0.9957,0.9965,1,1,0.9008,0.8535
74,100,0,0.09,0.6525,0.8513,0.6433,0.7307,0.7453,0.9033,0.9963,0.8753,1,0.987,0.9791,0.5077,0.9995
75,200,0,0.09,0.0994,0.6153,0.0362,0.1107,0.2215,0.4279,0.9372,0.3182,0.9873,0.9321,0.8644,0.0628,0.5786
76,400,0,0.09,0.0058,0.0827,0,0,0.1145,0.4935,0.3697,0.0785,0.921,0.7499,0.4259,0,0.0482
77,800,0,0.09,0.0181,0,0,0,0.0697,0.5382,0,0.0472,0.8472,0.5497,0.0753,0,0
78,0,2.94,0.09,1,0.9999,1,1,1,1,0.9938,1,1,1,1,0.9984,0.7093
79,25,2.94,0.09,0.9896,0.9494,1,1,1,1,0.9966,1,1,1,1,0.9719,0.7206
80,50,2.94,0.09,0.9268,0.9785,0.9997,1,1,1,1,1,1,1,1,0.9165,0.932
81,100,2.94,0.09,0.6101,0.934,0.6088,0.7743,0.8924,0.9243,1,0.862,1,0.9851,0.988,0.4948,0.826
82,200,2.94,0.09,0.0914,0.7148,0.0156,0.0915,0.3175,0.4424,0.9099,0.3084,0.9974,0.9333,0.8343,0.0501,0.6048
83,400,2.94,0.09,0.0034,0.0844,0,0,0.1102,0.5108,0.2045,0.0704,0.9315,0.7361,0.4015,0,0.0726
84,800,2.94,0.09,0.0128,0,0,0,0.0705,0.5363,0,0.0453,0.8513,0.5454,0.0665,0,0
85,0,5.88,0.09,0.6903,0.9912,1,1,1,1,0.9997,1,0.9957,0.989,1,0.8333,0.7374
86,25,5.88,0.09,0.709,0.9925,1,1,1,1,0.9985,1,0.9996,0.991,1,0.8266,0.8449
87,50,5.88,0.09,0.5727,0.9618,0.9947,1,1,1,1,0.9968,0.9982,0.9956,1,0.751,0.97
88,100,5.88,0.09,0.3914,0.7887,0.6558,0.8033,0.9022,0.9112,1,0.863,1,0.9771,0.9949,0.5002,0.9045
89,200,5.88,0.09,0.0507,0.6169,0.0412,0.1405,0.3628,0.4485,0.9722,0.3661,0.9912,0.9295,0.8719,0.0537,0.6276
90,400,5.88,0.09,0.0065,0.0608,0,0.0009,0.1238,0.4615,0.4276,0.0596,0.9026,0.7399,0.4168,0,0.1081
91,800,5.88,0.09,0.0151,0,0,0,0.0658,0.5189,0.0087,0.0376,0.84,0.5447,0.0562,0,0
92,0,11.75,0.09,0.2732,0.2835,0.7998,1,1,0.9163,0.8702,0.9162,0.9941,0.7677,0.9944,0.4174,0.7875
93,25,11.75,0.09,0.2786,0.322,0.7811,1,1,0.9002,0.8733,0.9007,0.9895,0.7704,0.9956,0.4428,0.8104
94,50,11.75,0.09,0.2735,0.2334,0.7855,1,0.9801,0.9341,0.959,0.8933,1,0.804,1,0.4655,0.8254
95,100,11.75,0.09,0.2353,0.2505,0.4805,0.8299,0.8462,0.8388,0.9654,0.7894,1,0.8256,1,0.3674,0.7676
96,200,11.75,0.09,0.0675,0.2177,0.0261,0.1824,0.4745,0.4312,0.8106,0.3478,0.9762,0.7775,0.8883,0.0433,0.5003
97,400,11.75,0.09,0.0546,0.0173,0,0,0.156,0.4789,0.362,0.0814,0.8902,0.6765,0.3102,0,0.0358
98,800,11.75,0.09,0.0421,0,0,0,0.0727,0.5184,0.0449,0.0341,0.8395,0.5281,0.0349,0,0
99,0,23.5,0.09,0.0024,0.0245,0.3092,0.8917,0.4325,0.3049,0.1568,0.3292,0.2995,0.334,0.7418,0.4731,0.4204
100,25,23.5,0.09,0.0026,0.0129,0.2957,0.8878,0.4186,0.3061,0.1622,0.3185,0.3857,0.3302,0.7443,0.4931,0.4673
101,50,23.5,0.09,0.0084,0.0088,0.2923,0.7779,0.4098,0.3497,0.1589,0.317,0.4756,0.3462,0.7853,0.5303,0.5526
102,100,23.5,0.09,0.0088,0.0132,0.233,0.6572,0.3695,0.3113,0.1758,0.3196,0.4963,0.3662,0.8212,0.4713,0.4987
103,200,23.5,0.09,0,0.0165,0.0843,0.214,0.2249,0.2021,0.2127,0.2478,0.4814,0.3499,0.6829,0.1736,0.2558
104,400,23.5,0.09,0,0.0207,0,0.0252,0.1316,0.2582,0.1991,0.076,0.5734,0.3601,0.3383,0.072,0.1015
105,800,23.5,0.09,0.0149,0.0127,0,0,0.0688,0.2653,0.0212,0.0288,0.5187,0.2732,0.0693,0.0164,0.0842
106,0,47,0.09,0,0,0.2053,0.1065,0.0014,0.0027,0,0.0625,0.1137,0.1311,0.2924,0.4863,0.0707
107,25,47,0.09,0,0,0.1729,0.1084,0.0039,0,0,0.0523,0.1202,0.1211,0.2981,0.5272,0.0705
108,50,47,0.09,0,0,0.1698,0.0839,0,0,0,0.0607,0.1282,0.1281,0.3145,0.5281,0.0599
109,100,47,0.09,0,0,0.1112,0.0611,0,0,0,0.0592,0.1416,0.1346,0.3272,0.4376,0.0466
110,200,47,0.09,0,0,0.0863,0.0143,0.0002,0,0,0.0537,0.1464,0.1233,0.2905,0.2889,0.0195
111,400,47,0.09,0,0,0.0006,0,0,0,0,0.0246,0.1554,0.1141,0.1633,0.2112,0
112,800,47,0.09,0,0,0,0,0,0,0,0.0207,0.1064,0.0781,0.0524,0.1107,0
113,0,94,0.09,0,0,0,0,0,0,0,0,0.0695,0.0221,0.1571,0.4373,0.0309
114,25,94,0.09,0,0,0,0,0,0,0,0,0.0683,0.0171,0.1462,0.4318,0.0257
115,50,94,0.09,0,0,0,0,0,0,0,0,0.074,0.0196,0.1598,0.4363,0.0235
116,100,94,0.09,0,0,0,0,0,0,0,0,0.082,0.023,0.1628,0.3704,0.0198
117,200,94,0.09,0,0,0,0,0,0,0,0,0.0799,0.0201,0.1261,0.2787,0.0021
118,400,94,0.09,0,0,0,0,0,0,0,0.0015,0.0781,0.0214,0.0758,0.2081,0
119,800,94,0.09,0,0,0,0,0,0,0,0.0018,0.0464,0.0134,0.0393,0.0996,0
120,0,188,0.09,0,0,0,0,0,0,0,0,0.0706,0,0.0359,0.4112,0.0252
121,25,188,0.09,0,0,0,0,0,0,0,0,0.0701,0,0.033,0.4191,0.0196
122,50,188,0.09,0,0,0,0,0,0,0,0,0.0729,0,0.0359,0.4235,0.0218
123,100,188,0.09,0,0,0,0,0,0,0,0,0.074,0,0.0357,0.3686,0.017
124,200,188,0.09,0,0,0,0,0,0,0,0,0.0736,0,0.0215,0.2661,0
125,400,188,0.09,0,0,0,0,0,0,0,0,0.0741,0,0.001,0.2077,0
126,800,188,0.09,0,0,0,0,0,0,0,0,0.0469,0,0,0.0923,0
127,0,376,0.09,0,0,0,0,0,0,0,0,0.069,0,0.0034,0.4105,0.0363
128,25,376,0.09,0,0,0,0,0,0,0,0,0.0651,0,0.0021,0.4175,0.0335
129,50,376,0.09,0,0,0,0,0,0,0,0,0.0768,0,0.0047,0.4121,0.0202
130,100,376,0.09,0,0,0,0,0,0,0,0,0.0754,0,0.0016,0.3675,0.0182
131,200,376,0.09,0,0,0,0,0,0,0,0,0.0755,0,0,0.2577,0.0013
132,400,376,0.09,0,0,0,0,0,0,0,0,0.0695,0,0,0.1994,0
133,800,376,0.09,0,0,0,0,0,0,0,0,0.0477,0,0,0.0904,0
134,0,752,0.09,0.0127,0.0083,0.005,0,0,0,0,0.0184,0.1095,0.0416,0.0618,0.4562,0.1336
135,25,752,0.09,0.0157,0.0078,0.0043,0,0,0,0,0.0195,0.1154,0.0393,0.061,0.4656,0.1358
136,50,752,0.09,0.0155,0.0042,0.0029,0,0,0,0,0.0124,0.1239,0.0436,0.0623,0.464,0.1271
137,100,752,0.09,0.0111,0.0005,0.0021,0,0,0,0,0.0173,0.1266,0.0468,0.0602,0.4178,0.1172
138,200,752,0.09,0.0091,0.0024,0.003,0,0,0,0,0.0182,0.1246,0.0456,0.0482,0.3047,0.0984
139,400,752,0.09,0.0102,0,0.0008,0,0,0,0,0.0168,0.1211,0.043,0.033,0.2556,0.0661
140,800,752,0.09,0,0,0,0,0,0,0,0.005,0.0753,0.0201,0.0161,0.1445,0.0421
141,0,0,0.18,0.9986,0.9173,1,0.9864,1,0.9873,0.9355,0.9953,0.9467,0.9698,0.9435,0.9788,0.6912
142,25,0,0.18,0.9832,0.9315,0.9861,0.9807,0.9702,0.9838,0.9484,0.9786,0.9406,0.9578,0.9569,0.9142,0.8635
143,50,0,0.18,0.9269,0.907,0.8801,0.955,0.9604,0.9806,0.9529,0.9407,0.9469,0.9703,0.9775,0.8001,1
144,100,0,0.18,0.6766,0.8555,0.4482,0.7392,0.7044,0.8617,0.9768,0.7997,0.9638,0.946,0.9652,0.5117,0.9624
145,200,0,0.18,0.0907,0.6471,0.0243,0.0838,0.2609,0.4061,0.8675,0.4039,0.9351,0.8662,0.9331,0.0757,0.7649
146,400,0,0.18,0.0125,0.0895,0,0,0.13,0.4428,0.2112,0.0908,0.8071,0.684,0.7312,0,0.1051
147,800,0,0.18,0.0217,0,0,0,0.0777,0.4682,0,0.0353,0.774,0.5128,0.11,0,0
148,0,2.94,0.18,1,1,1,1,1,1,0.983,1,0.964,0.9975,0.9997,1,0.7631
149,25,2.94,0.18,1,0.9872,0.9976,0.9988,0.9983,1,0.9855,0.9839,0.9644,0.9973,0.9917,0.9863,0.9018
150,50,2.94,0.18,0.9742,0.9739,0.983,0.9894,0.9544,1,0.9931,0.9933,0.9779,0.9973,1,0.908,0.9933
151,100,2.94,0.18,0.7038,0.9189,0.7808,0.6916,0.7462,0.8916,1,0.841,0.9938,0.972,0.9888,0.5519,1
152,200,2.94,0.18,0.0967,0.5892,0.0772,0.2057,0.2458,0.3991,0.9733,0.4113,0.9711,0.9241,0.9796,0.0859,0.7811
153,400,2.94,0.18,0.013,0.0982,0,0.0178,0.1377,0.4662,0.3879,0.0838,0.882,0.7511,0.7888,0,0.1139
154,800,2.94,0.18,0.0279,0,0,0,0.0908,0.5245,0,0.0468,0.8208,0.5479,0.1324,0,0
155,0,5.88,0.18,0.8207,1,1,1,1,1,0.996,1,1,0.997,1,0.8773,0.8118
156,25,5.88,0.18,0.7825,0.9953,0.9936,1,1,1,1,1,1,1,1,0.8748,0.8333
157,50,5.88,0.18,0.6742,0.9944,0.9468,0.9935,1,1,0.9973,0.9923,1,1,1,0.8146,0.9782
158,100,5.88,0.18,0.555,0.9834,0.4069,0.7083,0.8984,0.936,1,0.8657,1,0.9818,1,0.5118,1
159,200,5.88,0.18,0.0949,0.6179,0.0013,0.0904,0.3229,0.4813,0.9085,0.4166,0.9918,0.924,0.9698,0.0652,0.84
160,400,5.88,0.18,0.0184,0.0493,0,0,0.1387,0.4998,0.2146,0.0934,0.8899,0.7418,0.7759,0,0.1066
161,800,5.88,0.18,0.0315,0,0,0,0.0656,0.5187,0,0.0408,0.8363,0.5545,0.132,0,0
162,0,11.75,0.18,0.3354,0.3905,0.8335,1,0.9945,0.9549,0.9524,0.9377,0.9781,0.8286,1,0.4204,0.6922
163,25,11.75,0.18,0.3324,0.3574,0.8493,1,1,0.9499,0.9912,0.9497,0.9784,0.8467,0.9946,0.4183,0.7268
164,50,11.75,0.18,0.3162,0.3899,0.7877,0.9919,1,0.9613,0.9802,0.9147,0.98,0.8079,1,0.4311,0.7792
165,100,11.75,0.18,0.2739,0.3838,0.5311,0.789,0.8858,0.8666,0.9915,0.7959,0.9975,0.8104,0.9911,0.3571,0.8351
166,200,11.75,0.18,0.0862,0.2399,0.0331,0.101,0.5059,0.425,0.9064,0.422,0.965,0.8074,0.9728,0.0458,0.6574
167,400,11.75,0.18,0.0728,0.0192,0,0,0.1728,0.4878,0.268,0.1038,0.874,0.6844,0.7923,0,0.0816
168,800,11.75,0.18,0.0691,0,0,0,0.086,0.522,0,0.043,0.8032,0.5087,0.1414,0,0
169,0,23.5,0.18,0.0372,0.016,0.3175,0.7478,0.4573,0.4432,0.3385,0.3834,0.4244,0.3614,0.7713,0.4259,0.3107
170,25,23.5,0.18,0.0455,0.0234,0.308,0.7546,0.4606,0.5157,0.3437,0.3635,0.4327,0.3681,0.8136,0.4697,0.3261
171,50,23.5,0.18,0.0412,0.0451,0.2981,0.7048,0.4607,0.5328,0.3405,0.3547,0.454,0.3846,0.8403,0.4711,0.4127
172,100,23.5,0.18,0.024,0.0492,0.2424,0.6608,0.4166,0.5053,0.3494,0.3534,0.5428,0.4109,0.8493,0.4982,0.4826
173,200,23.5,0.18,0,0.0323,0.0106,0.1747,0.2899,0.2888,0.3404,0.2677,0.5362,0.4045,0.7816,0.185,0.3502
174,400,23.5,0.18,0.0005,0,0,0,0.1762,0.3692,0.2215,0.0914,0.5954,0.3711,0.6705,0.0944,0.1655
175,800,23.5,0.18,0.012,0,0,0,0.0845,0.4137,0.0156,0.0436,0.5377,0.2769,0.1211,0.0264,0.0631
176,0,47,0.18,0,0,0.2396,0.1367,0.0411,0.0161,0,0.0884,0.1219,0.1492,0.3184,0.5068,0.0824
177,25,47,0.18,0,0,0.2168,0.1366,0.0514,0.0168,0,0.0889,0.1255,0.1482,0.3267,0.5202,0.0703
178,50,47,0.18,0,0,0.1905,0.1277,0.0471,0.0221,0,0.0877,0.1361,0.1447,0.3361,0.5145,0.0944
179,100,47,0.18,0,0,0.147,0.1048,0.0341,0.0077,0,0.0927,0.1503,0.1465,0.3417,0.4625,0.0989
180,200,47,0.18,0,0,0.0126,0.0142,0.0172,0.0012,0,0.0882,0.1614,0.1405,0.3442,0.2866,0.0715
181,400,47,0.18,0,0,0,0,0.0037,0.0099,0,0.0529,0.1789,0.1087,0.2955,0.2094,0.0034
182,800,47,0.18,0,0,0,0,0.0006,0.0532,0,0.0472,0.135,0.0711,0.0797,0.1177,0
183,0,94,0.18,0,0,0,0,0,0,0,0.012,0.0732,0.0369,0.1519,0.4357,0.037
184,25,94,0.18,0,0,0,0,0,0,0,0.011,0.0708,0.0299,0.158,0.4392,0.0331
185,50,94,0.18,0,0,0,0,0,0,0,0.0105,0.0731,0.0337,0.1554,0.4323,0.0452
186,100,94,0.18,0,0,0,0,0,0,0,0.0221,0.0726,0.0295,0.16,0.3909,0.0478
187,200,94,0.18,0,0,0,0,0,0,0,0.0154,0.0742,0.0313,0.1471,0.2789,0.0257
188,400,94,0.18,0,0,0,0,0,0,0,0.0063,0.0816,0.0161,0.1186,0.2059,0
189,800,94,0.18,0,0,0,0,0,0,0,0.0242,0.044,0,0.0358,0.1093,0
190,0,188,0.18,0,0,0,0,0,0,0,0,0.0597,0,0.0334,0.4021,0.0468
191,25,188,0.18,0,0,0,0,0,0,0,0,0.0611,0,0.0343,0.4041,0.0375
192,50,188,0.18,0,0,0,0,0,0,0,0,0.0636,0,0.0376,0.4054,0.0455
193,100,188,0.18,0,0,0,0,0,0,0,0,0.0642,0,0.0401,0.3726,0.0326
194,200,188,0.18,0,0,0,0,0,0,0,0,0.0613,0,0.0329,0.2602,0.0207
195,400,188,0.18,0,0,0,0,0,0,0,0,0.0647,0,0.0073,0.2139,0
196,800,188,0.18,0,0,0,0,0,0,0,0.0011,0.0308,0,0,0.1116,0
197,0,376,0.18,0,0,0,0,0,0,0,0,0.0609,0,0,0.3879,0.0515
198,25,376,0.18,0,0,0,0,0,0,0,0,0.0635,0,0,0.3948,0.0474
199,50,376,0.18,0,0,0,0,0,0,0,0,0.0685,0,0.0003,0.3941,0.0455
200,100,376,0.18,0,0,0,0,0,0,0,0,0.0667,0,0.0018,0.358,0.0418
201,200,376,0.18,0,0,0,0,0,0,0,0,0.0653,0,0,0.2633,0.0328
202,400,376,0.18,0,0,0,0,0,0,0,0,0.0575,0,0,0.2158,0
203,800,376,0.18,0,0,0,0,0,0,0,0,0.0201,0,0,0.1214,0
204,0,752,0.18,0,0,0,0,0,0,0,0,0.0692,0,0.0014,0.3926,0.074
205,25,752,0.18,0,0,0,0,0,0,0,0,0.0692,0,0.001,0.3983,0.0712
206,50,752,0.18,0,0,0,0,0,0,0,0,0.0721,0,0.0027,0.3991,0.0717
207,100,752,0.18,0,0,0,0,0,0,0,0,0.0727,0,0.0033,0.3657,0.0688
208,200,752,0.18,0,0,0,0,0,0,0,1E-04,0.0618,0,0,0.2733,0.0506
209,400,752,0.18,0,0,0,0,0,0,0,0,0.056,0,0,0.2119,0.0197
210,800,752,0.18,0,0,0,0,0,0,0,0,0.0366,0,0,0.1179,0.0035
211,0,0,0.35,1,0.9999,1,1,1,1,0.991,0.9963,0.9888,0.9798,0.9961,0.9898,0.8401
212,25,0,0.35,1,0.9915,1,1,0.9929,1,0.9833,0.9677,0.976,0.9779,0.9871,0.964,0.7447
213,50,0,0.35,0.9777,0.9703,0.8841,0.9445,0.9943,1,0.9915,0.9868,0.983,0.9707,1,0.8788,0.7772
